nuts,time,mean_temperature,hot_days,total_precipitation,extreme_precipitation_days,consecutive_dry_days,mean_wind_speed,fwi
AL,1940-01-01,272.2929665153245,0.0,186.01678230286507,1.5487090165359727,4.912956186491284,2.514320889725071,0.4442685203948193
AL,1940-02-01,275.7557488119716,0.0,125.22035304505091,0.4509025263607492,10.48068436787447,2.0844331842762114,0.7570209809828957
AL,1940-03-01,276.8019295633593,0.0,82.62866767404527,0.042571857064361264,8.809213970552095,2.1867033300876866,1.776427940987089
AL,1940-04-01,282.8859188926138,0.0,90.84286884791149,0.5354892138531281,8.825103744749596,1.7571471420994793,3.6078463448848486
AL,1940-05-01,286.8426910524047,0.0,116.69198413555971,0.2892119341344565,6.076013329024675,1.7884086804125898,3.8666601036853065
AL,1940-06-01,290.85866618427013,0.30167337337644345,87.85710983101707,0.4535756263682836,6.982856882677864,1.5786063928890843,6.280611971861466
AL,1940-07-01,294.3070515363128,3.6537414546099587,37.469853744424256,0.057215648778044165,15.513304002941165,1.7156008811064016,16.33453577155776
AL,1940-08-01,292.7677474953791,1.8664886555182874,18.548251240807637,0.04290259694136128,15.413556022296717,2.0079633162689983,26.223636200180678
AL,1940-09-01,290.9995096283592,0.3156087937617559,65.8341287940053,0.469309259174711,14.325494706005179,1.7875229906918018,20.16576337197966
AL,1940-10-01,287.0735244999688,0.0,244.69995426016476,1.6221781799457975,8.233011251649438,1.8857928027121837,5.995012606318419
AL,1940-11-01,282.10791008689426,0.0,164.501834433467,0.6147928464069802,4.372970794331529,1.9752937507726234,0.9123443224194581
AL,1940-12-01,271.6073949558536,0.0,169.7938960478461,0.3704170519599749,5.10608411236193,2.35302934070802,0.16867040457502885
AL,1941-01-01,275.82915125201106,0.0,236.23016437434796,1.5380210103309744,3.7099634946524924,2.3147144030617444,0.1082089562323299
AL,1941-02-01,278.05425489494206,0.0,268.33234750082676,2.2596677534926224,6.45699395698894,2.390655727759351,0.47545023379562396
AL,1941-03-01,278.8178613402369,0.0,54.09056124583556,0.15453816140224227,5.769492915922556,1.9445584528388693,1.9373050677603962
AL,1941-04-01,282.53808730528726,0.0,127.22816797641103,0.5337156388746463,5.749873151621999,1.9877210965435432,3.1635627010914926
AL,1941-05-01,286.85980718979033,0.12925008744842387,126.05417869300335,0.6714769663102709,6.3282529476472815,1.739411235150189,4.520118174446425
AL,1941-06-01,292.13216126587605,0.31599293559864167,33.352052881469376,0.28505622369723244,11.222004390216322,1.8250058045722914,13.649372522093506
AL,1941-07-01,294.4201420096737,2.8322784397888294,37.832560744148736,0.17208732912626976,15.442767592730345,1.8096764330268473,19.659474496745652
AL,1941-08-01,294.91595984996053,3.9946742071037025,39.373381558307926,0.35628519463998043,10.523742766589205,1.8060404715101945,28.207295648775666
AL,1941-09-01,288.0354141756476,0.0,67.85711110629306,0.0,8.946873513167407,1.9033598283543263,8.687411409387625
AL,1941-10-01,283.754011851018,0.0,173.86741634502715,0.36951304135076474,7.692254431203269,2.0518663355594406,7.019114714377678
AL,1941-11-01,278.32201378188137,0.0,128.6780559379409,0.14071727109765975,10.041575989591847,2.0974294807760994,1.237882004343164
AL,1941-12-01,273.2717595231997,0.0,50.21632024615163,0.0,8.886849228221253,1.9899383958676016,1.8150988027481023
AL,1942-01-01,270.2988859621078,0.0,197.74328768538535,0.5591181467468388,4.439365257830512,2.160247152987969,0.1141261560459164
AL,1942-02-01,275.2962082400624,0.0,120.97884012313008,0.0,6.703322682417457,2.236829758059815,0.41692889005749584
AL,1942-03-01,279.0727444267396,0.0,54.653404433607705,0.0,7.584862922087052,1.6692783991309774,0.9711453661733853
AL,1942-04-01,283.5303954008294,0.0,87.92191041839617,0.17160793632321758,5.308076779783021,1.8792187950194834,2.965054714535186
AL,1942-05-01,288.7438171284496,0.02874638035089699,57.96539058539869,0.16869435702364743,9.801711843139367,1.6830685834391474,7.994624586725341
AL,1942-06-01,292.4850745964996,0.7614318817326402,62.379954781974114,0.5964167909160805,12.947510542356074,1.7670945284858606,15.11085326370691
AL,1942-07-01,294.1793453620702,2.6175098429423946,18.19312919509715,0.027976550111106807,14.687036522169858,1.7433698977068712,22.45646417403989
AL,1942-08-01,294.64706409753524,2.5268808438626547,27.060653933722193,0.08470057949958557,11.64293402029595,1.656365329425292,24.937845525447564
AL,1942-09-01,292.4917992780979,0.7742874247207957,15.86744037865111,0.0,17.841804218635783,1.590361693463863,28.379678436647996
AL,1942-10-01,286.2875720103579,0.04306539528345041,58.295570328491436,0.0,12.666296977717257,1.687783518158151,20.58359152360976
AL,1942-11-01,279.3074607949002,0.0,150.96475277103426,0.2404445806561568,4.702935355188587,1.8499423858262376,1.4482695855887153
AL,1942-12-01,277.3700136151717,0.0,77.6279291509325,0.0,9.651760112661451,1.8274485462585524,1.008787272465296
AL,1943-01-01,272.76988319896077,0.0,123.51089008818622,0.41307396506131633,10.687689357019512,2.012719165378538,0.5708408164729737
AL,1943-02-01,276.67343652505133,0.0,22.84275885493185,0.0,18.922260335952128,1.7897050254573554,2.8003750149570883
AL,1943-03-01,279.0871540623861,0.0,8.242648842688883,0.0,20.972194994285648,1.9975061064710586,7.220684562762914
AL,1943-04-01,283.73149223728495,0.0,55.046470633968504,0.2424932950831136,11.93018916645234,1.8968809220128913,6.564979013873259
AL,1943-05-01,287.6478697759442,0.0,108.39803972121089,1.4277358739948445,6.819435879754506,2.1464283256303167,7.388262285975169
AL,1943-06-01,291.35926573414594,0.21538115166014712,44.662812347599676,0.14323347317806281,7.765919956138867,1.7821661544405232,11.44077453460668
AL,1943-07-01,295.0463639376069,4.69808407783568,26.86181330364243,0.297460645343592,16.02550875036121,1.8804316723868653,26.39060937950571
AL,1943-08-01,296.7928924114295,10.119069082443708,7.255418152552764,0.0,24.77237709550288,1.799937329088251,38.56869620238204
AL,1943-09-01,293.68102910863286,1.9676882704061625,46.70085014993406,0.15575085057868285,13.672365513370346,1.6541425453248286,28.887119130378906
AL,1943-10-01,288.25489990339656,0.10109276907736399,30.541053094733698,0.0,11.31590946752595,1.6123412555763053,17.567985650279354
AL,1943-11-01,281.9456783828967,0.0,283.2216489210548,1.0271541592774434,4.970825711074234,2.1394317842507737,6.108569363861159
AL,1943-12-01,277.96682454904266,0.0,155.90333264900454,0.25989203086619383,8.833888239557341,2.016794193949717,0.5089447706425682
AL,1944-01-01,274.63998379444484,0.0,61.832828586914395,0.07121122807815979,12.663450494769823,2.0843722283844683,0.9792462055040321
AL,1944-02-01,275.1668174119279,0.0,212.48354300278186,0.8688514663878594,3.2150525645576082,2.2195185980034355,0.4534679629034624
AL,1944-03-01,276.7030012774724,0.0,219.40693211019166,0.1851418291769577,3.643220733084965,2.2387906953683614,0.3521313539975568
AL,1944-04-01,283.5512563975528,0.0,81.21755698767802,0.18706107304110905,9.376882138625634,1.823882296907797,3.443430221090991
AL,1944-05-01,287.97156884994035,0.0,26.590393911095845,0.0,13.55477092775219,1.7896883245449804,8.414808357214886
AL,1944-06-01,292.21985151133634,0.6035391466803901,47.901425064178625,0.46565223907257447,9.687454160916412,1.7466479970894522,15.703712035430385
AL,1944-07-01,294.49991453604355,1.7963787404200406,11.851600634450653,0.07181150198952496,16.366602843046092,1.8858020824409472,28.126332794058918
AL,1944-08-01,295.0139001026666,3.527084677442435,19.351464490895392,0.0,14.359666872681679,1.7530183803969772,30.037323909148352
